complaint_raw,complaint_category,count
N/A,Unknown,1032
HEADACHE,Headache,703
ENROLLMENT,Enrollment/Requirement,693
COLDS,Respiratory,421
,Unknown,390
COUGH,Respiratory,387
ALLERGY,Allergy,380
CHECK-UP,Check-up/Consultation,337
FEVER,Fever,316
STOMACHACHE,Gastrointestinal,312
BODY PAIN,Body Pain,307
TOOTHACHE,Dental,297
SORE THROAT,Respiratory,287
MINOR WOUND,Wound/Injury,256
DIZZINESS,Dizziness,222
DIARRHEA,Gastrointestinal,221
MEDICAL,Other,219
MUSCLE PAIN,Body Pain,208
FOLLOW-UP,Other,205
BLOOD PRESSURE CHECK,Blood Pressure,200
DYSMENORRHEA,Dysmenorrhea,178
MEDICAL CERT.,Medical Certificate,124
ROTC,Enrollment/Requirement,89
CONSULTATION,Check-up/Consultation,53
General Clearance,Enrollment/Requirement,50
HEALTH EDUCATION,Other,45
REFERRAL,Other,44
MEDICAL CERTIFICATE,Medical Certificate,40
SCUAA,Enrollment/Requirement,37
MEDICAL CHECK-UP,Check-up/Consultation,36
MEDICAL CLEARANCE,Enrollment/Requirement,35
P.E,Enrollment/Requirement,19
HEIGHT/WEIGHT,Physical Assessment,18
Disinfection,Other,17
LBM,Gastrointestinal,16
Medical Clearance,Enrollment/Requirement,15
BMI,Physical Assessment,14
COUGH / COLDS,Respiratory,14
MBI,Other,14
HEIGHT/WEIGHT SCALE,Physical Assessment,13
Med-cert,Medical Certificate,12
Medical Certificate,Medical Certificate,12
None,Unknown,11
CUTS,Other,10
Facemask & Alcohol,Supply/Medicine Issuance,10
MED-CERT,Medical Certificate,10
STOMACH CRAMPS,Gastrointestinal,10
Med.,Supply/Medicine Issuance,9
Medical,Other,9
Medical Cert,Medical Certificate,9
WEIGHT,Physical Assessment,9
Face Mask / Alcohol,Supply/Medicine Issuance,8
Med-Cert,Medical Certificate,8
Flu,Respiratory,7
General Hygiene,Other,7
Minor Cut,Wound/Injury,7
DEFENSE,Other,6
ENROLLEMENT,Enrollment/Requirement,6
Facemask & alcohol,Supply/Medicine Issuance,6
General Malaise,Other,6
Supply,Supply/Medicine Issuance,6
Asthma,Respiratory,5
Headache,Headache,5
MED CERT,Medical Certificate,5
Med Cert.,Medical Certificate,5
Physical Assessment,Other,5
Rhinitis,Other,5
Routine Check,Check-up/Consultation,5
SARIDON,Other,5
Ubo,Other,5
EAR PAIN,Body Pain,4
High blood,Blood Pressure,4
HYPERTENSION,Blood Pressure,4
LAGUNDI,Other,4
RHINITIS,Other,4
WOUND,Wound/Injury,4
Acid,Other,3
ALCOHOL,Supply/Medicine Issuance,3
Alcohol,Supply/Medicine Issuance,3
CELECOXIB,Other,3
Face Mask,Supply/Medicine Issuance,3
H/A,Headache,3
Med Cert,Medical Certificate,3
Medical Cert.,Medical Certificate,3
Medicine / Disinfection,Supply/Medicine Issuance,3
Menstrual Cramps,Dysmenorrhea,3
Night skin,Other,3
PERSONAL,Other,3
REST,Other,3
Saridon,Other,3
Sick Leave Request,Other,3
Sip-on,Other,3
TRAINING,Enrollment/Requirement,3
Allergy,Allergy,2
ASKING FOR MEDS,Supply/Medicine Issuance,2
BLISTER,Other,2
CLEANING WOUND,Wound/Injury,2
cold,Respiratory,2
Cold & Colds,Respiratory,2
Cold / Flu,Respiratory,2
Coughing,Respiratory,2
DRUG TEST,Other,2
Efficacent,Other,2
Eye Pain,Body Pain,2
Face mask & alcohol,Supply/Medicine Issuance,2
Facemask / alcohol,Supply/Medicine Issuance,2
Facemask / Alcohol,Supply/Medicine Issuance,2
FLUE,Other,2
GASTRO,Other,2
HYOSIN,Other,2
Hyper Acidity,Gastrointestinal,2
Hyper-acidity,Gastrointestinal,2
IBUPROFEN,Other,2
Immune Boost,Other,2
INDIGESTION,Other,2
Inflammation,Other,2
Injury,Wound/Injury,2
Loperamide,Other,2
Loss of consciousness,Other,2
Lower abdomen,Other,2
Mask,Other,2
MED- CERT,Supply/Medicine Issuance,2
MEDICAL CERT,Medical Certificate,2
Menstrual cramps,Dysmenorrhea,2
Pain,Body Pain,2
Paracetamol,Other,2
Rashes,Allergy,2
RBS,Other,2
Sanitization,Other,2
Sneeze,Other,2
Synflex,Other,2
Toothache,Dental,2
Torque,Other,2
Vom,Other,2
weight,Physical Assessment,2
Weight Monitoring,Physical Assessment,2
1 White Flower,Other,1
Abdominal cramps,Gastrointestinal,1
Abdominal Cramps,Gastrointestinal,1
abdominal cramps,Gastrointestinal,1
Abdominal pain,Body Pain,1
Abdominal Pain,Body Pain,1
Ache,Other,1
Acid & High BP,Blood Pressure,1
Acid Reflux,Other,1
ACID REFLUX,Other,1
ACIDITY,Gastrointestinal,1
AISE,Other,1
Alcohol / Med,Supply/Medicine Issuance,1
ALCOHOL / SUPPLY,Supply/Medicine Issuance,1
alcohol(2),Supply/Medicine Issuance,1
ALCOHOL/DEQUALINIUM CHLORIDE,Supply/Medicine Issuance,1
Alcohol/Supply,Supply/Medicine Issuance,1
Alda Cold,Respiratory,1
Alergies/Meds,Supply/Medicine Issuance,1
Arm sprain,Wound/Injury,1
ASHMA,Other,1
ASKING FOR CLINIC,Other,1
Asthma & Nausea,Respiratory,1
Asthma / Back Pain,Respiratory,1
Bandage,Other,1
Biology / Overworked,Other,1
Blisters,Other,1
body / lip,Other,1
Body ache,Other,1
BOILS,Other,1
BP / Redness of eyes,Blood Pressure,1
BP.,Blood Pressure,1
BRUISE,Other,1
Bruise,Other,1
C/H,Other,1
Calds,Other,1
Carboicisteine,Other,1
CAT BITE,Other,1
CETEREZIN,Other,1
Cetirizine,Other,1
CHECE-UP,Other,1
CHECH-UP,Other,1
Chest Pain,Body Pain,1
CHEST PAIN,Body Pain,1
Citrate,Other,1
