week_number,historical_average_cases,historical_median_cases,historical_min_cases,historical_max_cases,years_observed,zero_case_years,relative_to_overall_average,historical_activity_pattern
1,0.67,0,0,2,3,2,0.025,Historically Low Activity
2,28,15.5,2,79,4,0,1.053,Historically Typical Activity
3,33,18.0,0,96,4,1,1.242,Historically Typical Activity
4,23.75,18.5,3,55,4,0,0.894,Historically Typical Activity
5,32.25,15.5,4,94,4,0,1.213,Historically Typical Activity
6,48.25,14.0,0,165,4,1,1.815,Historically High Activity
7,41,17.5,0,129,4,1,1.543,Historically High Activity
8,47.5,13.5,0,163,4,1,1.787,Historically High Activity
9,39,11.5,2,131,4,0,1.467,Historically High Activity
10,47,16.5,14,141,4,0,1.768,Historically High Activity
11,51.5,19.5,11,156,4,0,1.938,Historically High Activity
12,36,17.5,14,95,4,0,1.354,Historically High Activity
13,40.25,17.0,11,116,4,0,1.514,Historically High Activity
14,26.25,18.0,7,62,4,0,0.988,Historically Typical Activity
15,26.75,18.0,7,64,4,0,1.006,Historically Typical Activity
16,33.5,16.0,13,89,4,0,1.26,Historically High Activity
17,42.25,22.5,10,114,4,0,1.59,Historically High Activity
18,30.25,19.0,9,74,4,0,1.138,Historically Typical Activity
19,33.25,33.0,12,55,4,0,1.251,Historically High Activity
20,31.5,30.5,13,52,4,0,1.185,Historically Typical Activity
21,37.5,35.0,0,80,4,1,1.411,Historically High Activity
22,27.5,22.0,0,66,4,1,1.035,Historically Typical Activity
23,34.75,17.5,6,98,4,0,1.307,Historically High Activity
24,31.25,22.5,11,69,4,0,1.176,Historically Typical Activity
25,37.5,30.5,0,89,4,1,1.411,Historically High Activity
26,47.5,42.5,9,96,4,0,1.787,Historically High Activity
27,33.5,27.0,0,80,4,1,1.26,Historically High Activity
28,20.5,9.0,3,61,4,0,0.771,Historically Typical Activity
29,13.33,8,5,27,3,0,0.502,Historically Low Activity
30,17.67,0,0,53,3,2,0.665,Historically Low Activity
31,0.67,0,0,2,3,2,0.025,Historically Low Activity
32,6.67,4,0,16,3,1,0.251,Historically Low Activity
33,13.67,18,0,23,3,1,0.514,Historically Low Activity
34,6,6,0,12,3,1,0.226,Historically Low Activity
35,8.33,9,5,11,3,0,0.314,Historically Low Activity
36,19,11,0,46,3,1,0.715,Historically Low Activity
37,19.33,9,0,49,3,1,0.727,Historically Low Activity
38,33.67,13,1,87,3,0,1.267,Historically High Activity
39,32.33,16,13,68,3,0,1.216,Historically Typical Activity
40,7,6,1,14,3,0,0.263,Historically Low Activity
41,11.33,16,0,18,3,1,0.426,Historically Low Activity
42,10,14,0,16,3,1,0.376,Historically Low Activity
43,7.67,11,0,12,3,1,0.288,Historically Low Activity
44,10,14,0,16,3,1,0.376,Historically Low Activity
45,16.67,15,14,21,3,0,0.627,Historically Low Activity
46,21.67,16,13,36,3,0,0.815,Historically Typical Activity
47,21.33,14,11,39,3,0,0.803,Historically Typical Activity
48,19.33,15,9,34,3,0,0.727,Historically Low Activity
49,17.67,17,10,26,3,0,0.665,Historically Low Activity
50,21.33,14,11,39,3,0,0.803,Historically Typical Activity
51,4,0,0,12,3,2,0.15,Historically Low Activity
52,0.33,0,0,1,3,2,0.013,Historically Low Activity
