month_key,complaint_category,case_count
2023-01,Allergy,7
2023-01,Blood Pressure,2
2023-01,Body Pain,8
2023-01,Dental,2
2023-01,Dizziness,4
2023-01,Dysmenorrhea,5
2023-01,Fever,1
2023-01,Gastrointestinal,10
2023-01,Headache,3
2023-01,Respiratory,12
2023-01,Wound/Injury,4
2023-02,Allergy,4
2023-02,Body Pain,7
2023-02,Dental,3
2023-02,Dizziness,5
2023-02,Dysmenorrhea,1
2023-02,Fever,6
2023-02,Gastrointestinal,6
2023-02,Headache,4
2023-02,Respiratory,19
2023-02,Wound/Injury,2
2023-03,Allergy,5
2023-03,Blood Pressure,2
2023-03,Body Pain,11
2023-03,Dental,5
2023-03,Dizziness,9
2023-03,Dysmenorrhea,4
2023-03,Fever,4
2023-03,Gastrointestinal,6
2023-03,Headache,6
2023-03,Respiratory,13
2023-03,Wound/Injury,1
2023-04,Allergy,2
2023-04,Blood Pressure,1
2023-04,Body Pain,4
2023-04,Dental,2
2023-04,Dizziness,3
2023-04,Dysmenorrhea,2
2023-04,Fever,4
2023-04,Gastrointestinal,4
2023-04,Headache,4
2023-04,Respiratory,10
2023-04,Wound/Injury,4
2023-05,Allergy,2
2023-05,Blood Pressure,1
2023-05,Body Pain,7
2023-05,Dental,2
2023-05,Dizziness,6
2023-05,Dysmenorrhea,4
2023-05,Fever,2
2023-05,Gastrointestinal,4
2023-05,Headache,9
2023-05,Respiratory,5
2023-05,Wound/Injury,4
2023-06,Allergy,6
2023-06,Blood Pressure,3
2023-06,Body Pain,4
2023-06,Dental,2
2023-06,Dizziness,1
2023-06,Fever,5
2023-06,Gastrointestinal,4
2023-06,Respiratory,15
2023-06,Wound/Injury,1
2023-07,Allergy,12
2023-07,Blood Pressure,4
2023-07,Body Pain,25
2023-07,Dental,13
2023-07,Dizziness,4
2023-07,Dysmenorrhea,3
2023-07,Fever,15
2023-07,Gastrointestinal,16
2023-07,Headache,75
2023-07,Respiratory,44
2023-07,Wound/Injury,11
2023-08,Allergy,1
2023-08,Dental,1
2023-08,Fever,1
