week_key,week_start,week_end,total_visits,health_visits,non_health_visits,medical_certificate_visits,enrollment_requirement_visits,supply_medicine_visits,consultation_assessment_visits,unknown_other_visits,unique_departments
2023-W02,2023-01-09,2023-01-15,23,18,5,1,2,0,0,2,10
2023-W03,2023-01-16,2023-01-22,18,16,2,0,1,0,1,0,11
2023-W04,2023-01-23,2023-01-29,20,18,2,1,0,0,0,1,10
2023-W05,2023-01-30,2023-02-05,19,15,4,0,1,0,1,2,8
2023-W06,2023-02-06,2023-02-12,19,16,3,0,2,0,1,0,10
2023-W07,2023-02-13,2023-02-19,17,16,1,0,1,0,0,0,10
2023-W08,2023-02-20,2023-02-26,16,11,5,0,1,0,1,3,10
2023-W09,2023-02-27,2023-03-05,21,13,8,1,1,0,1,5,10
2023-W10,2023-03-06,2023-03-12,19,17,2,0,0,0,0,2,9
2023-W11,2023-03-13,2023-03-19,16,11,5,0,2,0,1,2,9
2023-W12,2023-03-20,2023-03-26,18,14,4,1,1,0,0,2,9
2023-W13,2023-03-27,2023-04-02,19,16,3,0,2,0,1,0,11
2023-W14,2023-04-03,2023-04-09,11,7,4,1,3,0,0,0,5
2023-W15,2023-04-10,2023-04-16,13,10,3,0,2,0,1,0,8
2023-W16,2023-04-17,2023-04-23,15,13,2,1,0,0,1,0,11
2023-W17,2023-04-24,2023-04-30,15,10,5,0,1,0,1,3,9
2023-W18,2023-05-01,2023-05-07,13,9,4,1,1,0,1,1,9
2023-W19,2023-05-08,2023-05-14,18,12,6,1,1,0,0,4,10
2023-W20,2023-05-15,2023-05-21,15,13,2,0,0,0,0,2,8
2023-W21,2023-05-22,2023-05-28,17,12,5,1,3,0,0,1,9
2023-W22,2023-05-29,2023-06-04,8,5,3,0,2,0,0,1,7
2023-W23,2023-06-05,2023-06-11,19,9,10,1,6,0,0,3,10
2023-W24,2023-06-12,2023-06-18,18,11,7,0,5,0,0,2,11
2023-W25,2023-06-19,2023-06-25,19,8,11,0,5,0,3,3,9
2023-W26,2023-06-26,2023-07-02,17,9,8,0,3,0,0,5,11
2023-W27,2023-07-03,2023-07-09,440,80,360,0,340,2,13,5,40
2023-W28,2023-07-10,2023-07-16,95,61,34,0,10,0,19,5,33
2023-W29,2023-07-17,2023-07-23,267,27,240,0,215,0,19,6,35
2023-W30,2023-07-24,2023-07-30,172,53,119,0,75,0,29,15,35
2023-W31,2023-07-31,2023-08-06,22,0,22,0,22,0,0,0,9
2023-W32,2023-08-07,2023-08-13,6,0,6,0,3,0,3,0,5
2023-W33,2023-08-14,2023-08-20,12,0,12,0,12,0,0,0,6
2023-W34,2023-08-21,2023-08-27,6,0,6,0,6,0,0,0,4
2023-W35,2023-08-28,2023-09-03,13,11,2,0,0,0,0,2,8
2023-W36,2023-09-04,2023-09-10,0,0,0,0,0,0,0,0,0
2023-W37,2023-09-11,2023-09-17,17,0,17,0,0,0,16,1,5
2023-W38,2023-09-18,2023-09-24,31,1,30,0,18,0,11,1,17
2023-W39,2023-09-25,2023-10-01,26,13,13,0,1,0,12,0,10
2023-W40,2023-10-02,2023-10-08,11,1,10,0,0,0,9,1,4
2023-W41,2023-10-09,2023-10-15,0,0,0,0,0,0,0,0,0
2023-W42,2023-10-16,2023-10-22,0,0,0,0,0,0,0,0,0
2023-W43,2023-10-23,2023-10-29,0,0,0,0,0,0,0,0,0
2023-W44,2023-10-30,2023-11-05,2,0,2,1,0,0,0,1,1
2023-W45,2023-11-06,2023-11-12,18,14,4,0,2,0,2,0,11
2023-W46,2023-11-13,2023-11-19,21,13,8,2,2,0,2,2,10
2023-W47,2023-11-20,2023-11-26,17,11,6,2,1,0,0,3,9
2023-W48,2023-11-27,2023-12-03,12,9,3,0,2,0,0,1,7
2023-W49,2023-12-04,2023-12-10,18,17,1,0,1,0,0,0,7
2023-W50,2023-12-11,2023-12-17,20,14,6,1,4,0,0,1,9
2023-W51,2023-12-18,2023-12-24,0,0,0,0,0,0,0,0,0
2023-W52,2023-12-25,2023-12-31,0,0,0,0,0,0,0,0,0
2024-W01,2024-01-01,2024-01-07,0,0,0,0,0,0,0,0,0
2024-W02,2024-01-08,2024-01-14,17,2,15,0,15,0,0,0,4
2024-W03,2024-01-15,2024-01-21,25,0,25,0,23,0,2,0,3
2024-W04,2024-01-22,2024-01-28,20,3,17,0,3,0,14,0,10
2024-W05,2024-01-29,2024-02-04,17,4,13,0,0,0,0,13,7
2024-W06,2024-02-05,2024-02-11,28,0,28,0,0,0,0,28,4
2024-W07,2024-02-12,2024-02-18,3,0,3,0,0,0,0,3,1
