week_key,week_start,week_end,complaint_category,case_count
2023-W02,2023-01-09,2023-01-15,Allergy,2
2023-W02,2023-01-09,2023-01-15,Blood Pressure,0
2023-W02,2023-01-09,2023-01-15,Body Pain,3
2023-W02,2023-01-09,2023-01-15,Dental,0
2023-W02,2023-01-09,2023-01-15,Dizziness,0
2023-W02,2023-01-09,2023-01-15,Dysmenorrhea,0
2023-W02,2023-01-09,2023-01-15,Fever,1
2023-W02,2023-01-09,2023-01-15,Gastrointestinal,3
2023-W02,2023-01-09,2023-01-15,Headache,1
2023-W02,2023-01-09,2023-01-15,Respiratory,5
2023-W02,2023-01-09,2023-01-15,Wound/Injury,3
2023-W03,2023-01-16,2023-01-22,Allergy,2
2023-W03,2023-01-16,2023-01-22,Blood Pressure,1
2023-W03,2023-01-16,2023-01-22,Body Pain,3
2023-W03,2023-01-16,2023-01-22,Dental,1
2023-W03,2023-01-16,2023-01-22,Dizziness,1
2023-W03,2023-01-16,2023-01-22,Dysmenorrhea,1
2023-W03,2023-01-16,2023-01-22,Fever,0
2023-W03,2023-01-16,2023-01-22,Gastrointestinal,3
2023-W03,2023-01-16,2023-01-22,Headache,1
2023-W03,2023-01-16,2023-01-22,Respiratory,3
2023-W03,2023-01-16,2023-01-22,Wound/Injury,0
2023-W04,2023-01-23,2023-01-29,Allergy,2
2023-W04,2023-01-23,2023-01-29,Blood Pressure,1
2023-W04,2023-01-23,2023-01-29,Body Pain,1
2023-W04,2023-01-23,2023-01-29,Dental,1
2023-W04,2023-01-23,2023-01-29,Dizziness,2
2023-W04,2023-01-23,2023-01-29,Dysmenorrhea,3
2023-W04,2023-01-23,2023-01-29,Fever,0
2023-W04,2023-01-23,2023-01-29,Gastrointestinal,4
2023-W04,2023-01-23,2023-01-29,Headache,1
2023-W04,2023-01-23,2023-01-29,Respiratory,2
2023-W04,2023-01-23,2023-01-29,Wound/Injury,1
2023-W05,2023-01-30,2023-02-05,Allergy,2
2023-W05,2023-01-30,2023-02-05,Blood Pressure,0
2023-W05,2023-01-30,2023-02-05,Body Pain,3
2023-W05,2023-01-30,2023-02-05,Dental,0
2023-W05,2023-01-30,2023-02-05,Dizziness,2
2023-W05,2023-01-30,2023-02-05,Dysmenorrhea,1
2023-W05,2023-01-30,2023-02-05,Fever,1
2023-W05,2023-01-30,2023-02-05,Gastrointestinal,0
2023-W05,2023-01-30,2023-02-05,Headache,0
2023-W05,2023-01-30,2023-02-05,Respiratory,6
2023-W05,2023-01-30,2023-02-05,Wound/Injury,0
2023-W06,2023-02-06,2023-02-12,Allergy,1
2023-W06,2023-02-06,2023-02-12,Blood Pressure,0
2023-W06,2023-02-06,2023-02-12,Body Pain,3
2023-W06,2023-02-06,2023-02-12,Dental,1
2023-W06,2023-02-06,2023-02-12,Dizziness,0
2023-W06,2023-02-06,2023-02-12,Dysmenorrhea,1
2023-W06,2023-02-06,2023-02-12,Fever,0
2023-W06,2023-02-06,2023-02-12,Gastrointestinal,2
2023-W06,2023-02-06,2023-02-12,Headache,1
2023-W06,2023-02-06,2023-02-12,Respiratory,7
2023-W06,2023-02-06,2023-02-12,Wound/Injury,0
2023-W07,2023-02-13,2023-02-19,Allergy,1
2023-W07,2023-02-13,2023-02-19,Blood Pressure,0
2023-W07,2023-02-13,2023-02-19,Body Pain,1
2023-W07,2023-02-13,2023-02-19,Dental,1
2023-W07,2023-02-13,2023-02-19,Dizziness,2
2023-W07,2023-02-13,2023-02-19,Dysmenorrhea,0
2023-W07,2023-02-13,2023-02-19,Fever,4
2023-W07,2023-02-13,2023-02-19,Gastrointestinal,1
2023-W07,2023-02-13,2023-02-19,Headache,0
2023-W07,2023-02-13,2023-02-19,Respiratory,4
2023-W07,2023-02-13,2023-02-19,Wound/Injury,2
2023-W08,2023-02-20,2023-02-26,Allergy,1
2023-W08,2023-02-20,2023-02-26,Blood Pressure,0
2023-W08,2023-02-20,2023-02-26,Body Pain,0
2023-W08,2023-02-20,2023-02-26,Dental,1
2023-W08,2023-02-20,2023-02-26,Dizziness,1
2023-W08,2023-02-20,2023-02-26,Dysmenorrhea,0
2023-W08,2023-02-20,2023-02-26,Fever,1
2023-W08,2023-02-20,2023-02-26,Gastrointestinal,2
2023-W08,2023-02-20,2023-02-26,Headache,2
2023-W08,2023-02-20,2023-02-26,Respiratory,3
2023-W08,2023-02-20,2023-02-26,Wound/Injury,0
2023-W09,2023-02-27,2023-03-05,Allergy,0
2023-W09,2023-02-27,2023-03-05,Blood Pressure,0
2023-W09,2023-02-27,2023-03-05,Body Pain,1
2023-W09,2023-02-27,2023-03-05,Dental,0
2023-W09,2023-02-27,2023-03-05,Dizziness,3
2023-W09,2023-02-27,2023-03-05,Dysmenorrhea,2
2023-W09,2023-02-27,2023-03-05,Fever,0
2023-W09,2023-02-27,2023-03-05,Gastrointestinal,2
2023-W09,2023-02-27,2023-03-05,Headache,2
2023-W09,2023-02-27,2023-03-05,Respiratory,3
2023-W09,2023-02-27,2023-03-05,Wound/Injury,0
2023-W10,2023-03-06,2023-03-12,Allergy,1
2023-W10,2023-03-06,2023-03-12,Blood Pressure,1
2023-W10,2023-03-06,2023-03-12,Body Pain,2
2023-W10,2023-03-06,2023-03-12,Dental,0
2023-W10,2023-03-06,2023-03-12,Dizziness,4
2023-W10,2023-03-06,2023-03-12,Dysmenorrhea,0
2023-W10,2023-03-06,2023-03-12,Fever,2
2023-W10,2023-03-06,2023-03-12,Gastrointestinal,2
2023-W10,2023-03-06,2023-03-12,Headache,1
2023-W10,2023-03-06,2023-03-12,Respiratory,4
2023-W10,2023-03-06,2023-03-12,Wound/Injury,0
2023-W11,2023-03-13,2023-03-19,Allergy,0
2023-W11,2023-03-13,2023-03-19,Blood Pressure,0
2023-W11,2023-03-13,2023-03-19,Body Pain,3
2023-W11,2023-03-13,2023-03-19,Dental,1
2023-W11,2023-03-13,2023-03-19,Dizziness,1
2023-W11,2023-03-13,2023-03-19,Dysmenorrhea,1
2023-W11,2023-03-13,2023-03-19,Fever,1
2023-W11,2023-03-13,2023-03-19,Gastrointestinal,1
2023-W11,2023-03-13,2023-03-19,Headache,1
2023-W11,2023-03-13,2023-03-19,Respiratory,2
2023-W11,2023-03-13,2023-03-19,Wound/Injury,0
2023-W12,2023-03-20,2023-03-26,Allergy,2
2023-W12,2023-03-20,2023-03-26,Blood Pressure,0
2023-W12,2023-03-20,2023-03-26,Body Pain,2
2023-W12,2023-03-20,2023-03-26,Dental,2
2023-W12,2023-03-20,2023-03-26,Dizziness,1
2023-W12,2023-03-20,2023-03-26,Dysmenorrhea,1
2023-W12,2023-03-20,2023-03-26,Fever,0
2023-W12,2023-03-20,2023-03-26,Gastrointestinal,0
2023-W12,2023-03-20,2023-03-26,Headache,2
2023-W12,2023-03-20,2023-03-26,Respiratory,3
2023-W12,2023-03-20,2023-03-26,Wound/Injury,1
2023-W13,2023-03-27,2023-04-02,Allergy,2
2023-W13,2023-03-27,2023-04-02,Blood Pressure,1
2023-W13,2023-03-27,2023-04-02,Body Pain,4
2023-W13,2023-03-27,2023-04-02,Dental,2
2023-W13,2023-03-27,2023-04-02,Dizziness,1
2023-W13,2023-03-27,2023-04-02,Dysmenorrhea,0
2023-W13,2023-03-27,2023-04-02,Fever,1
2023-W13,2023-03-27,2023-04-02,Gastrointestinal,2
2023-W13,2023-03-27,2023-04-02,Headache,1
2023-W13,2023-03-27,2023-04-02,Respiratory,2
2023-W13,2023-03-27,2023-04-02,Wound/Injury,0
2023-W14,2023-04-03,2023-04-09,Allergy,0
2023-W14,2023-04-03,2023-04-09,Blood Pressure,0
2023-W14,2023-04-03,2023-04-09,Body Pain,1
2023-W14,2023-04-03,2023-04-09,Dental,0
2023-W14,2023-04-03,2023-04-09,Dizziness,1
2023-W14,2023-04-03,2023-04-09,Dysmenorrhea,0
2023-W14,2023-04-03,2023-04-09,Fever,0
2023-W14,2023-04-03,2023-04-09,Gastrointestinal,1
2023-W14,2023-04-03,2023-04-09,Headache,0
2023-W14,2023-04-03,2023-04-09,Respiratory,3
2023-W14,2023-04-03,2023-04-09,Wound/Injury,1
2023-W15,2023-04-10,2023-04-16,Allergy,0
2023-W15,2023-04-10,2023-04-16,Blood Pressure,0
2023-W15,2023-04-10,2023-04-16,Body Pain,1
2023-W15,2023-04-10,2023-04-16,Dental,1
2023-W15,2023-04-10,2023-04-16,Dizziness,1
2023-W15,2023-04-10,2023-04-16,Dysmenorrhea,0
2023-W15,2023-04-10,2023-04-16,Fever,2
2023-W15,2023-04-10,2023-04-16,Gastrointestinal,1
2023-W15,2023-04-10,2023-04-16,Headache,2
2023-W15,2023-04-10,2023-04-16,Respiratory,2
2023-W15,2023-04-10,2023-04-16,Wound/Injury,0
2023-W16,2023-04-17,2023-04-23,Allergy,1
2023-W16,2023-04-17,2023-04-23,Blood Pressure,0
2023-W16,2023-04-17,2023-04-23,Body Pain,1
2023-W16,2023-04-17,2023-04-23,Dental,1
2023-W16,2023-04-17,2023-04-23,Dizziness,0
2023-W16,2023-04-17,2023-04-23,Dysmenorrhea,1
2023-W16,2023-04-17,2023-04-23,Fever,2
2023-W16,2023-04-17,2023-04-23,Gastrointestinal,2
2023-W16,2023-04-17,2023-04-23,Headache,0
2023-W16,2023-04-17,2023-04-23,Respiratory,4
2023-W16,2023-04-17,2023-04-23,Wound/Injury,1
2023-W17,2023-04-24,2023-04-30,Allergy,1
2023-W17,2023-04-24,2023-04-30,Blood Pressure,1
2023-W17,2023-04-24,2023-04-30,Body Pain,1
2023-W17,2023-04-24,2023-04-30,Dental,0
2023-W17,2023-04-24,2023-04-30,Dizziness,1
2023-W17,2023-04-24,2023-04-30,Dysmenorrhea,1
2023-W17,2023-04-24,2023-04-30,Fever,0
2023-W17,2023-04-24,2023-04-30,Gastrointestinal,0
2023-W17,2023-04-24,2023-04-30,Headache,2
2023-W17,2023-04-24,2023-04-30,Respiratory,1
2023-W17,2023-04-24,2023-04-30,Wound/Injury,2
2023-W18,2023-05-01,2023-05-07,Allergy,0
2023-W18,2023-05-01,2023-05-07,Blood Pressure,0
2023-W18,2023-05-01,2023-05-07,Body Pain,0
2023-W18,2023-05-01,2023-05-07,Dental,1
2023-W18,2023-05-01,2023-05-07,Dizziness,2
2023-W18,2023-05-01,2023-05-07,Dysmenorrhea,1
2023-W18,2023-05-01,2023-05-07,Fever,0
2023-W18,2023-05-01,2023-05-07,Gastrointestinal,2
2023-W18,2023-05-01,2023-05-07,Headache,2
2023-W18,2023-05-01,2023-05-07,Respiratory,1
2023-W18,2023-05-01,2023-05-07,Wound/Injury,0
2023-W19,2023-05-08,2023-05-14,Allergy,0
2023-W19,2023-05-08,2023-05-14,Blood Pressure,0
2023-W19,2023-05-08,2023-05-14,Body Pain,2
2023-W19,2023-05-08,2023-05-14,Dental,0
2023-W19,2023-05-08,2023-05-14,Dizziness,1
2023-W19,2023-05-08,2023-05-14,Dysmenorrhea,1
2023-W19,2023-05-08,2023-05-14,Fever,1
2023-W19,2023-05-08,2023-05-14,Gastrointestinal,1
2023-W19,2023-05-08,2023-05-14,Headache,2
2023-W19,2023-05-08,2023-05-14,Respiratory,2
2023-W19,2023-05-08,2023-05-14,Wound/Injury,2
